題目編號,題目,答題選項1,答題選項2,答題選項3,答題選項4,答案編號
1,下列哪一個天體無法在子夜時分使用臺北天文館頂樓望遠鏡進行觀測？,月球(Moon),灶神星(Vesta),水星(Mercury) ,海王星(Neptune),3
2,某個黃昏傍晚時，天空中有一彎月牙，同時有顆肉眼可見的彗星在地平上約20度仰角處，彗尾朝上；下列那項敘述正確？,新月在西方；彗星在西方,殘月在西方；彗星在西方,殘月在東方；彗星在東方,新月在東方；彗星在東方,1
3,地球公轉太陽的軌道呈橢圓形，請問下列關於地球和太陽間距離變化的描述，何者正確？,距太陽近時容易發生日全食，距太陽遠時容易發生日環食,距太陽近時節氣間隔比較短，距太陽遠時節氣間隔比較長,距太陽近時視太陽日長，距太陽遠時視太陽日短,距太陽近為夏天，距太陽遠為冬天,2
4,地球與下列哪個天體的體積大小最相近？,月球,火星,水星,金星,4
5,月食發生時，當晚的月相為？,新月,上弦,滿月,下弦,3
6,目前還能聯繫到的太空船中，已航行至離地球最遠的是？,先鋒10號(Pioneer 10),新視野號(New Horizons),航海家1號(Voyager 1) ,航海家2號(Voyager 2),3
7,2020年諾貝爾物理獎獲獎人之一的加州大學洛杉磯分校的安德烈婭·吉茲(Andrea Ghez)是諾貝爾物理獎史上第四位女性獲獎者。其獲獎的理由是？,發現宇宙微波背景輻射而成為大霹靂理論的有力證據,找到銀河系中心有約400萬倍太陽質量的超大質量黑洞的有力證據,提出恆星能量核融合反應的理論,透過遠距離Ia型超新星的觀測發現宇宙正在加速膨脹,2
8,2020年春分在3月20日中午11時50分；當晚19時50分，下列那顆星最接近中天（通過南北的子午線）？,參宿四（獵戶座α，赤經5h55m）,五帝座一（獅子座β，赤經11h49m）,北河三（雙子座β，赤經7h45m）,河鼓二（天鷹座α，赤經19h49m）,3
9,下列那一類天體不在梅西爾星表中？,螺旋星系,瀰漫星雲,球狀星團,非週期彗星,4
10,在電影星際效應(Interstellar)中，有組太空人到達一個富含水的行星。可是他們不能在上面停留太久，因為在上面的1小時相當於地球上的7年。下列何者是造成這個現象最主要的原因？,太空人們在穿越蟲洞時留下的時間差,太空船在它表面上起降的速度太快,該行星繞行中心黑洞的公轉速度太快,行星表面的重力場太強,4
11,內行星處於下列哪個位置時有機會發生凌日？,上合 (外合),下合 (內合),東大距,衝,2
12,下列何者是我國現行曆法一年的長度？,恆星年,平年,回歸年,食年,3
13,據研究編號 HDE226868 的星與一個黑洞互繞。既然黑洞不會發光，我們如何知道黑洞存在呢？,HDE226868 的物質被吸入黑洞時會發出高能量的伽瑪射線,天空中那塊區域明顯沒有背景星球，有如空洞一般,黑洞有時會擋住 HDE226868 的光線,該系統發出重力波,1
14,地球進動會造成下列那種現象？,大陸漂移,春分點漂移,太陽東升位置南北漂移,磁北極漂移,2
15,下列那一個星座位在臺灣的恆隱圈中？,劍魚座,山案座,蝎虎座,鹿豹座,2
16,太陽黑子的數目成週期變化，其週期大約為多少年？,1,11,100,365,2
17,處在月球表面某地的太空人，有機會觀察到下列何種現象？,地球的盈虧變化週期為一個月,因為地球比月球大的多，所以每個月會發生一次日食,地球從地平線升起到落下間隔時間約半個月,太空人若停留超過半個月會因為轉到月球背面而無法與地面通訊,1
18,下列關於流星的敘述，何者正確？,流星雨是來自同一顆隕石的碎片,流星的來源不僅僅是彗星或小行星所遺留下來的碎片,流星燃燒時的物體稱為流星體,流星在尚未進入地球大氣層之前統稱為小行星,2
19,下列各天體何者在空間中跨越尺度最大？,M13 (球狀星團),M27 (啞鈴星雲),M31 (仙女座星系),M42 (獵戶座星雲),3
20,愛因斯坦環是因何原因造成的？,星系團的重力透鏡,類星體磁場造成的則曼效應(Zeeman effect),光學望遠鏡的像差,日全食時的日暈,1
21,天文學家發現木星的衛星埃歐(Io)有火山活動的跡象，此現象說明埃歐內部仍然存在熔融態的地函。下列何者是其主要原因？,埃歐的體積太大，以致於自太陽系形成以來尚未完全降溫,不斷的隕石撞擊對埃歐帶來新的能量,木星對埃歐的引潮力作用,埃歐形成的時間比木星晚的多,3
22,首先以天文望遠鏡觀察並記錄木星有四顆衛星的科學家是下列何者？,哥白尼(Nicolaus Copernicus),伽利略(Galileo Galilei),牛頓(Isaac Newton),愛因斯坦(Albert Einstein),2
23,地球繞行太陽，時速與下列何者最接近？,1000公里,1萬公里,10萬公里,100萬公里,3
24,下列關於重力波的描述，何者正確？,重力波的傳遞速度也是光速，雖然它的產生機制與電磁波無關,雙星系統互繞、合併是產生重力波的唯一途徑,黑洞互繞、合併除了產生重力波，也是宇宙中重元素的主要來源,目前為止尚未發現中子星環繞黑洞產生重力波的例子,1
25,通常電波望遠鏡觀測站附近，不得在無保護措施下裝設下列哪一種設備？,咖啡壺,室內電話,電腦,微波爐,4
26,古籍記載「熒惑守心」是不祥之兆，可能意味著將發生戰亂、政權轉移或飢荒疾病等。這個天象中的「熒惑」是指？,水星,金星,穀神星,火星,4
27,太陽於8月中旬到9月中通過獅子座，下列敘述何者正確？,這段期間可觀看精彩的獅子座流星雨,這段期間的夜晚不能看到獅子座,這段期間銀河通過獅子座的範圍,這段期間的傍晚可見獅子座東昇,2
28,主序帶上的恆星質量最大約為太陽的150倍。造成此極限的原因為何？,質量太大的恆星中心溫度過高，無法穩定的將氫融合為氘,星際介質無法提供足夠的物質，以形成質量太大的恆星,質量太大的恆星表面溫度過高，無法束縛恆星表面的物質,質量太大的恆星引力太大，會直接塌縮成黑洞,3
29,下列何者不是金星凌日比水星凌日發生頻率低很多的原因？,金星的會合週期比水星大,金星與黃道面的最大距離比水星大,金星的公轉半徑比水星大,金星公轉軌道面與黃道面的交角比水星大,4
30,下列何者是矮行星的特徵？,質量太小，不足以維持適當的大氣層,質量夠大，足以克服固體應力，以達到接近流體靜力平衡的球形,不具有（矮）行星環,不具有衛星,2
31,外行星的會合運動方程式為1/S=1/E-1/P，其中S為會合周期，P為行星公轉周期，E為地球公轉周期。已知地球公轉一周約365.25天，火星繞太陽公轉一週約需687天，則火星與地球的會合周期約為？,332天,365天,687天,779天,4
32,承上題，火星在2020/10/14衝，若不論行星公轉軌道速度造成的差異，則由上述會合周期可推出下一次衝的日期應該會是？,2021/9/11,2021/10/14,2022/9/1,2022/12/2,4
33,有關於宇宙背景輻射的敘述，下列何者正確？,經由X射線波段量測得知,在宇宙中並非各處均勻，高低溫差大約3K,1960年代首度測得,愛因斯坦利用相對論預言其存在,3
34,每年12月中旬的雙子座流星雨，其流星體的來源可能是？,彗星,小行星,月球,火星,2
35,"某三顆星球皆屬於同樣星團的成員，它們的絕對星等分別為 3,-1,-6，從地球看，這三顆星當中哪顆最明亮？",第一顆,第二顆,第三顆,視情況而定,3
36,如果太陽的位置突然被一個與太陽質量相同的黑洞所取代，我們在地球上會感受到下列哪種現象? ,地球會因為黑洞而被甩開，終將遠離黑洞,地球公轉週期不變，但再也看不到月亮的盈虧,地球會愈來愈靠近黑洞，最終將被吸入黑洞內,地球的公轉無法預測，但在黑洞的方向上將看到星空被扭曲,2
37,如要執行太空任務時，最後階段太空船必須減速才能平安登陸天體表面。下列哪一個天體不適合用降落傘來讓太空船減速？,金星,火星,泰坦,穀神星,4
38,目前因地球與月球之間的潮汐作用影響，使月球正在以每年3.8公分的速度遠離地球中。這將造成未來最不可能看見下列日月食天象中的哪一種？,日偏食,日環食,日全食,半影月食,3
39,火星之所以有「逆行現象」是因為下列何種原因？,地球距離太陽比火星近，公轉一圈所需時間比較短,火星的軌道受到大行星影響而有不規則現象,火星偏紅的外觀造成的錯覺,以上皆是,1
